store_nbr,family,model,wape,mape,bias_pct,test_weeks
3,BEVERAGES,moving_avg_8,0.13813948359775932,0.350987455128158,0.09418429856920918,12
3,BEVERAGES,ets,0.1523005061149563,0.3402837717007067,0.09752027430679952,12
3,BEVERAGES,sarimax_promo,0.1261100044599268,0.3188566430728516,0.049727255157300344,12
49,GROCERY I,naive,0.15395822627935773,0.3189691939191131,-0.006462533627542837,12
49,GROCERY I,seasonal_naive,0.18363963364870145,0.31885597987339015,-0.0820859656016684,12
49,GROCERY I,moving_avg_8,0.13689017017803684,0.33452476526572283,0.0995503733035092,12
49,GROCERY I,ets,0.13414083678450955,0.3194906551224796,0.06480957000652206,12
49,GROCERY I,sarimax_promo,0.13648495853903997,0.4091786228655285,0.09556768315653633,12
11,GROCERY I,naive,0.1782859237357411,0.29252518648860565,-0.03720659830006284,12
11,GROCERY I,seasonal_naive,0.11966780951196815,0.2487189040588711,-0.0072816387979328205,12
11,GROCERY I,moving_avg_8,0.20331474473123112,0.3542947548536632,0.08465265984704287,12
11,GROCERY I,ets,0.15656039318499457,0.30551205053225544,0.0959140211579601,12
11,GROCERY I,sarimax_promo,0.19805296831337738,0.5366565841117984,0.14095330644847834,12
47,BEVERAGES,naive,0.1576865920437963,0.3624358696459711,-0.014044090751416199,12
47,BEVERAGES,seasonal_naive,0.2932414247362258,0.44456289130084753,-0.1919970953499952,12
47,BEVERAGES,moving_avg_8,0.13164192360176583,0.3663554740423396,0.07060715553509933,12
47,BEVERAGES,ets,0.15402642494008653,0.36053658374667436,0.06582191844046083,12
47,BEVERAGES,sarimax_promo,0.13634645164962908,0.32148116889427286,0.0010950810410625188,12
44,PRODUCE,naive,0.10716918070418947,0.31108100165711056,0.047290569127463045,12
44,PRODUCE,seasonal_naive,0.11997059065903294,0.3255468514256415,0.02149755483969289,12
44,PRODUCE,moving_avg_8,0.10661128839988042,0.3110454401664573,0.04896424604039019,12
44,PRODUCE,ets,0.5163990100163995,0.7748814966901095,0.5163990100163995,12
44,PRODUCE,sarimax_promo,0.14807812764007883,0.1558889452636065,0.07285900788447885,12
9,GROCERY I,naive,0.17349769703690887,0.3175112917285802,0.003937203592145118,12
9,GROCERY I,seasonal_naive,0.1265049683146457,0.27381397395549784,-0.0017585936649834588,12
9,GROCERY I,moving_avg_8,0.19258089543161647,0.3727318613339743,0.11843639396039053,12
9,GROCERY I,ets,0.16677926583359268,0.3363017776980765,0.11995249968032537,12
9,GROCERY I,sarimax_promo,0.1594731235065944,0.46493855242061505,0.10546486836111865,12
50,GROCERY I,naive,0.12706753340556134,0.327033598270691,0.07900325027085575,12
50,GROCERY I,seasonal_naive,0.17015529071867067,0.320897097016998,-0.06356807511737077,12
50,GROCERY I,moving_avg_8,0.12667930660888382,0.3162704997556411,0.04447453954496199,12
50,GROCERY I,ets,0.09394070741904188,0.277864138901137,0.05823992105421205,12
50,GROCERY I,sarimax_promo,0.10324630036491575,0.2983534674374267,0.03625464583395942,12
49,BEVERAGES,naive,0.15275809987168493,0.37188544068649004,0.08584393712574835,12
49,BEVERAGES,seasonal_naive,0.24137383714713387,0.3970538869822066,-0.13209574155260884,12
49,BEVERAGES,moving_avg_8,0.16246274192686028,0.39058912467854495,0.11446916434987149,12
49,BEVERAGES,ets,0.18814388493149944,0.4130579390065945,0.14914027850169118,12
